,summonerName,participantId,gameId,gameCreation,gameDuration,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,teamId_team,win_team,firstBlood_team,firstTower_team,firstInhibitor_team,firstBaron_team,firstDragon_team,firstRiftHerald_team,towerKills_team,inhibitorKills_team,baronKills_team,dragonKills_team,riftHeraldKills_team,ban1,ban2,ban3,ban4,ban5,role,lane,creepsPerMinDeltas_0-10,xpPerMinDeltas_0-10,goldPerMinDeltas_0-10,csDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_0-10,damageTakenPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_0-10,creepsPerMinDeltas_10-20,xpPerMinDeltas_10-20,goldPerMinDeltas_10-20,csDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_10-20,damageTakenPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_10-20,creepsPerMinDeltas_20-30,xpPerMinDeltas_20-30,goldPerMinDeltas_20-30,csDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_20-30,damageTakenPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_20-30,creepsPerMinDeltas_30-end,xpPerMinDeltas_30-end,goldPerMinDeltas_30-end,csDiffPerMinDeltas_30-end,xpDiffPerMinDeltas_30-end,damageTakenPerMinDeltas_30-end,damageTakenDiffPerMinDeltas_30-end,championId,spell1Id,spell2Id
333,ItsMadPlayz,3,3410267194,1588898892285,1920,3136,2031,1401,3111,3065,3076,3340,0,5,14,0,0,0,881,0,0,0,0,141137,103343,30747,7045,0,8318,6976,825,517,34810,1,20003,18650,285,29,21,37188,9701,23592,3894,9937,9200,0,0,17,142,108,2,451,15,2,12,4,False,False,False,False,False,False,8230,13,0,0,8275,12,0,0,8233,16,50,0,8232,9,20,0,9104,16,20,0,8014,180,0,0,8200,8000,5005,5008,5003,100,Win,False,True,True,True,False,False,9,2,1,2,0,"{'championId': 11, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 157, 'pickTurn': 3}","{'championId': 62, 'pickTurn': 4}","{'championId': 412, 'pickTurn': 5}",NONE,JUNGLE,1.6,460.3,477.59999999999997,1.5,206.60000000000002,690.9,76.30000000000001,2.2,691.8,819.2,0.8999999999999999,363.79999999999995,1134.2,138.09999999999997,,,,,,,,,,,,,,,11.0,14.0,11.0
433,espresso,4,3410267194,1588898892285,1920,3152,0,3916,3020,3100,1026,3340,4,5,8,2,1,1,835,0,0,0,0,94310,74278,19058,973,0,13687,10273,2440,973,4329,1,11767,7915,3737,30,9,21759,7573,12465,1719,10766,10075,2,1,151,6,0,2,217,15,3,13,4,False,False,False,False,False,False,8112,749,0,0,8126,413,0,0,8138,30,0,0,8106,4,0,0,8236,48,0,0,8210,0,0,0,8100,8200,5008,5008,5003,100,Win,False,True,True,True,False,False,9,2,1,2,0,"{'championId': 11, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 157, 'pickTurn': 3}","{'championId': 62, 'pickTurn': 4}","{'championId': 412, 'pickTurn': 5}",SOLO,MIDDLE,6.6,442.70000000000005,270.29999999999995,-0.3999999999999999,-28.0,406.90000000000003,-75.09999999999994,7.3,470.09999999999997,312.1,3.0999999999999996,40.89999999999998,841.9,-305.90000000000003,,,,,,,,,,,,,,,104.0,4.0,14.0
533,ni hun cu ai,5,3410267194,1588898892285,1920,1055,3047,3077,3071,3053,3052,3340,11,5,4,9,3,1,435,1,1,0,0,128070,4310,118202,5557,0,19885,1028,16664,2192,9888,1,17225,5797,3458,17,24,28873,9207,18427,1239,12957,11160,1,0,185,9,0,1,50,16,1,8,1,False,False,False,False,False,True,8010,1138,0,0,9111,1420,300,0,9105,22,40,0,8299,579,0,0,8139,987,0,0,8135,1972,5,0,8000,8100,5008,5008,5002,100,Win,False,True,True,True,False,False,9,2,1,2,0,"{'championId': 11, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 157, 'pickTurn': 3}","{'championId': 62, 'pickTurn': 4}","{'championId': 412, 'pickTurn': 5}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Peeli Peeli,6,3410267194,1588898892285,1920,3100,3152,3020,3089,0,0,3340,13,9,3,4,3,4,772,2,1,0,0,80451,56254,22444,1752,0,26581,21440,3389,1752,5325,1,11406,3161,350,16,13,28000,14076,12189,1734,12354,12580,0,0,143,0,0,0,66,14,0,9,2,False,False,False,False,False,False,8112,1207,0,0,8143,941,0,0,8138,30,0,0,8135,3243,4,0,9111,1088,320,0,8014,780,0,0,8100,8000,5008,5008,5003,200,Fail,True,False,False,False,True,True,2,0,0,3,1,"{'championId': 240, 'pickTurn': 6}","{'championId': 11, 'pickTurn': 7}","{'championId': 53, 'pickTurn': 8}","{'championId': 89, 'pickTurn': 9}","{'championId': 54, 'pickTurn': 10}",DUO_SUPPORT,BOTTOM,0.1,240.0,190.7,0.3999999999999999,17.849999999999994,240.7,-69.15000000000002,2.1,393.9,392.4,0.6999999999999997,65.09999999999997,533.7,-316.65000000000003,,,,,,,,,,,,,,,63.0,4.0,14.0
283,GamerGeek1003,7,3410267194,1588898892285,1920,1400,3065,3111,3071,1057,1042,3340,6,8,7,3,2,1,579,1,0,0,0,187143,6761,152031,28350,0,22773,139,15421,7212,13212,1,30497,24140,463,32,15,37337,15942,20052,1341,11515,10995,0,0,52,128,109,0,523,14,4,14,4,True,False,False,False,False,False,8010,1354,0,0,9111,803,260,0,9104,14,20,0,8299,690,0,0,8275,22,0,0,8232,8,20,0,8000,8200,5005,5008,5002,200,Fail,True,False,False,False,True,True,2,0,0,3,1,"{'championId': 240, 'pickTurn': 6}","{'championId': 11, 'pickTurn': 7}","{'championId': 53, 'pickTurn': 8}","{'championId': 89, 'pickTurn': 9}","{'championId': 54, 'pickTurn': 10}",SOLO,TOP,6.7,431.29999999999995,267.6,6.661338147750939e-16,54.199999999999974,264.1,-300.7,6.5,537.1,512.0,-0.49999999999999956,103.89999999999998,657.5,-128.40000000000003,,,,,,,,,,,,,,,131.0,12.0,4.0
383,Sonic Atom15,8,3410267194,1588898892285,1920,1055,3042,3158,2055,3078,1053,3363,2,7,8,0,1,0,820,0,0,0,0,100205,15264,82891,2050,0,15754,6376,9377,0,2329,3,6910,7680,782,22,0,19543,12458,6430,653,10034,8808,0,0,140,1,0,1,0,13,4,12,2,False,False,False,False,False,False,8010,263,0,0,8009,1596,500,0,9103,0,0,0,8014,214,0,0,8236,28,0,0,8210,0,0,0,8000,8200,5005,5008,5002,200,Fail,True,False,False,False,True,True,2,0,0,3,1,"{'championId': 240, 'pickTurn': 6}","{'championId': 11, 'pickTurn': 7}","{'championId': 53, 'pickTurn': 8}","{'championId': 89, 'pickTurn': 9}","{'championId': 54, 'pickTurn': 10}",DUO_SUPPORT,BOTTOM,1.2,293.3,197.2,0.5499999999999998,13.449999999999989,262.3,-22.750000000000014,1.3,402.1,388.6,0.44999999999999973,63.14999999999998,647.7,-82.19999999999999,,,,,,,,,,,,,,,412.0,4.0,14.0
483,Yolosaurus,9,3410267194,1588898892285,1920,3853,3504,3107,0,3117,0,3364,0,7,11,0,0,0,740,0,0,0,0,16710,12218,3917,574,0,3199,2170,454,574,250,1,4161,819,214,57,26,12836,9775,2743,317,6743,6275,0,0,24,0,0,0,217,13,11,28,6,False,False,False,False,False,False,8214,361,708,0,8226,250,184,0,8210,0,0,0,8237,263,0,0,8304,12,0,0,8347,0,0,0,8200,8300,5008,5008,5001,200,Fail,True,False,False,False,True,True,2,0,0,3,1,"{'championId': 240, 'pickTurn': 6}","{'championId': 11, 'pickTurn': 7}","{'championId': 53, 'pickTurn': 8}","{'championId': 89, 'pickTurn': 9}","{'championId': 54, 'pickTurn': 10}",NONE,JUNGLE,0.5,246.8,207.89999999999998,0.2,-103.60000000000001,836.1,302.1,0.8,310.70000000000005,320.4,-1.9999999999999998,-292.0999999999999,1132.3000000000002,416.1000000000001,3.0,527.0,444.70000000000005,-1.3,-90.09999999999997,1387.1999999999998,181.5,,,,,,,,245.0,11.0,4.0
583,ItsSleazy,10,3410267194,1588898892285,1920,3812,3211,3047,3071,1055,3067,3340,2,5,5,2,1,1,765,0,0,0,0,163581,13544,147314,2722,0,22403,4168,17897,337,3127,1,19089,15537,4205,22,28,21751,8072,10931,2747,10789,10425,2,0,206,13,4,0,445,16,1,10,2,False,False,False,False,False,False,8005,1623,916,706,9111,396,140,0,9104,20,40,0,8014,440,0,0,8446,1500,0,0,8473,717,0,0,8000,8400,5005,5008,5002,200,Fail,True,False,False,False,True,True,2,0,0,3,1,"{'championId': 240, 'pickTurn': 6}","{'championId': 11, 'pickTurn': 7}","{'championId': 53, 'pickTurn': 8}","{'championId': 89, 'pickTurn': 9}","{'championId': 54, 'pickTurn': 10}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,NatrCoF,1,3410343963,1588901155354,1710,3025,3068,3076,1054,0,3047,3340,4,5,4,2,1,1,615,0,0,0,0,73498,41790,26842,4865,0,18939,12135,6663,140,1238,1,29932,3009,787,12,27,20755,9902,9264,1587,8423,8100,0,0,94,0,0,0,541,13,0,8,0,False,False,False,False,False,False,8437,788,664,0,8401,311,0,0,8429,57,29,12,8451,165,0,0,8275,7,0,0,8236,24,0,0,8400,8200,5007,5002,5002,100,Fail,False,False,False,False,False,False,2,0,0,0,0,"{'championId': 517, 'pickTurn': 1}","{'championId': 19, 'pickTurn': 2}","{'championId': 51, 'pickTurn': 3}","{'championId': 412, 'pickTurn': 4}","{'championId': 38, 'pickTurn': 5}",SOLO,TOP,6.9,411.1,233.8,,,347.1,,8.2,603.8,599.1,,,905.5,,,,,,,,,,,,,,,,114.0,14.0,4.0
232,ExhaustMyHoles,2,3410343963,1588901155354,1710,2055,3285,3027,1056,3111,1052,3364,4,6,2,3,1,1,496,0,0,0,0,96063,78960,15503,1600,0,14076,12296,1779,0,3017,3,19277,3786,2582,18,5,19755,9355,9784,615,8591,8360,1,0,133,7,5,0,26,12,3,9,4,False,False,False,False,False,False,8112,975,0,0,8143,294,0,0,8138,12,0,0,8106,4,0,0,8226,250,290,0,8210,0,0,0,8100,8200,5005,5008,5002,100,Fail,False,False,False,False,False,False,2,0,0,0,0,"{'championId': 517, 'pickTurn': 1}","{'championId': 19, 'pickTurn': 2}","{'championId': 51, 'pickTurn': 3}","{'championId': 412, 'pickTurn': 4}","{'championId': 38, 'pickTurn': 5}",DUO_SUPPORT,BOTTOM,1.5,258.5,171.8,,,286.5,,0.9,350.8,360.9,,,832.0,,1.0,598.6,357.5,,,684.0,,,,,,,,,201.0,3.0,4.0
