,participantId,gameId,role,lane,creepsPerMinDeltas_0-10,xpPerMinDeltas_0-10,goldPerMinDeltas_0-10,csDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_0-10,damageTakenPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_0-10,creepsPerMinDeltas_10-20,xpPerMinDeltas_10-20,goldPerMinDeltas_10-20,csDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_10-20,damageTakenPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_10-20,creepsPerMinDeltas_20-30,xpPerMinDeltas_20-30,goldPerMinDeltas_20-30,csDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_20-30,damageTakenPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_20-30,creepsPerMinDeltas_30-end,xpPerMinDeltas_30-end,goldPerMinDeltas_30-end,csDiffPerMinDeltas_30-end,xpDiffPerMinDeltas_30-end,damageTakenPerMinDeltas_30-end,damageTakenDiffPerMinDeltas_30-end
148,4,3410543240,DUO_CARRY,BOTTOM,7.6,305.8,259.9,0.40000000000000013,7.749999999999957,195.70000000000002,-7.90000000000002,6.5,444.9,400.5,0.19999999999999973,117.34999999999997,551.5,38.5,3.9,492.8,490.1,-0.9500000000000002,111.55000000000001,637.7,-77.75000000000003,,,,,,,
149,5,3410543240,SOLO,MIDDLE,6.699999999999999,446.1,239.8,-1.3000000000000003,-27.400000000000006,161.8,69.5,3.6,406.5,357.6,-3.4,-10.799999999999983,719.5,168.70000000000002,4.9,355.2,390.4,-1.4,-52.19999999999999,842.9000000000001,135.0,,,,,,,
395,6,3410543240,SOLO,MIDDLE,8.0,473.5,273.2,1.3000000000000003,27.400000000000006,92.3,-69.5,7.0,417.3,398.0,3.4,10.799999999999983,550.8,-168.70000000000002,6.3,407.4,377.8,1.4,52.19999999999999,707.9000000000001,-135.0,,,,,,,
396,7,3410543240,NONE,JUNGLE,0.5,372.79999999999995,313.70000000000005,0.5,23.0,532.9,35.400000000000006,0.1,378.2,315.0,-2.0999999999999996,-101.70000000000002,954.4,59.39999999999998,1.6,517.5,456.6,0.10000000000000009,-93.70000000000002,806.1,-469.80000000000007,,,,,,,
397,8,3410543240,DUO_CARRY,BOTTOM,7.9,298.6,300.4,-0.40000000000000013,-7.749999999999957,165.0,7.90000000000002,6.7,347.20000000000005,426.70000000000005,-0.19999999999999973,-117.34999999999997,288.6,-38.5,3.6,324.0,253.0,0.9500000000000002,-111.55000000000001,766.9,77.75000000000003,,,,,,,
398,9,3410543240,DUO_SUPPORT,BOTTOM,0.1,283.6,166.7,-0.40000000000000013,-7.749999999999957,242.89999999999998,7.90000000000002,0.7,280.1,225.2,-0.19999999999999973,-117.34999999999997,456.2,-38.5,3.0,388.9,265.9,0.9500000000000002,-111.55000000000001,658.8,77.75000000000003,,,,,,,
399,10,3410543240,SOLO,TOP,5.800000000000001,456.5,263.7,4.440892098500626e-16,-20.00000000000003,501.8,130.8,5.800000000000001,433.8,319.6,0.9000000000000004,-15.900000000000006,990.2,409.40000000000003,3.9,408.0,302.4,0.2999999999999998,-12.199999999999989,1704.5,7.199999999999818,,,,,,,
135,1,3410606030,DUO_SUPPORT,MIDDLE,0.5,226.29999999999998,154.1,,,346.2,,0.8999999999999999,339.9,280.9,,,641.4,,0.7,562.2,308.2,,,899.9,,0.5,557.8,264.4,,,1105.3000000000002,
136,2,3410606030,SOLO,BOTTOM,5.9,305.2,215.1,,,242.8,,6.7,495.6,380.70000000000005,,,682.0999999999999,,5.0,503.6,468.7,,,914.6,,7.800000000000001,791.7,572.4,,,1035.1,
137,3,3410606030,NONE,JUNGLE,0.0,257.4,224.7,-0.5,-27.400000000000006,662.5999999999999,141.79999999999995,0.30000000000000004,442.79999999999995,359.6,-0.7,-167.00000000000003,1010.0,174.7,3.4000000000000004,539.8,443.3,1.9,-88.90000000000003,917.8,-179.29999999999995,1.4,653.4,432.4,-3.1999999999999997,118.1,1300.2,-370.19999999999993
138,4,3410606030,DUO_CARRY,MIDDLE,4.0,379.7,255.7,,,518.8,,7.8,515.9,449.0,,,792.6,,8.0,792.5,658.8,,,979.4,,7.2,876.8,574.8,,,1247.4,
139,5,3410606030,SOLO,TOP,5.4,480.4,294.9,0.7,73.80000000000001,486.6,-32.39999999999998,6.7,632.2,392.6,0.40000000000000036,145.99999999999997,1339.8000000000002,396.20000000000005,2.9,381.7,356.2,-1.9,-334.7,2335.3999999999996,874.4999999999999,4.8,662.0,478.3,0.5000000000000001,395.0,2014.8999999999999,341.9999999999998
385,6,3410606030,SOLO,TOP,4.7,406.6,208.5,-0.7,-73.80000000000001,519.0,32.39999999999998,6.3,486.20000000000005,330.5,-0.40000000000000036,-145.99999999999997,943.6,-396.20000000000005,4.8,716.4,454.8,1.9,334.7,1460.9,-874.4999999999999,4.3,267.0,264.6,-0.5000000000000001,-395.0,1672.9,-341.9999999999998
386,7,3410606030,DUO_SUPPORT,BOTTOM,1.3,307.6,253.39999999999998,,,226.7,,1.4,334.1,347.9,,,580.0,,0.4,457.70000000000005,362.8,,,1013.6,,2.4000000000000004,476.8,316.7,,,1362.2,
387,8,3410606030,NONE,JUNGLE,0.5,284.8,263.70000000000005,0.5,27.400000000000006,520.8,-141.79999999999995,1.0,609.8,470.2,0.7,167.00000000000003,835.3,-174.7,1.5,628.7,494.5,-1.9,88.90000000000003,1097.1,179.29999999999995,4.6,535.3,375.0,3.1999999999999997,-118.1,1670.4,370.19999999999993
388,9,3410606030,SOLO,MIDDLE,5.7,426.9,341.3,,,376.1,,6.1,485.8,471.2,,,653.3,,4.3,529.6,507.0,,,1309.1,,5.7,521.1,554.4000000000001,,,990.6,
389,10,3410606030,DUO_CARRY,BOTTOM,5.3,318.1,254.89999999999998,,,278.2,,7.6,520.9000000000001,457.9,,,576.1,,4.6,563.7,475.8,,,914.4,,2.4000000000000004,378.8,300.6,,,1225.2,
140,1,3410649936,NONE,JUNGLE,1.4,431.5,503.5,1.2,132.5,718.8,10.400000000000034,4.2,693.5,906.2,2.5999999999999996,330.6,979.0,-500.8,,,,,,,,,,,,,,
141,2,3410649936,SOLO,MIDDLE,6.6,471.4,313.70000000000005,,,531.9,,5.1,538.0,522.3,,,1415.2,,,,,,,,,,,,,,,
142,3,3410649936,SOLO,TOP,6.2,458.1,226.5,,,165.60000000000002,,4.7,593.2,332.6,,,536.8,,,,,,,,,,,,,,,
143,4,3410649936,DUO_CARRY,BOTTOM,4.6,289.3,252.3,-0.9500000000000004,-23.30000000000001,390.0,39.45,5.9,447.3,435.7,0.6000000000000003,151.75000000000003,694.4,-65.25000000000011,,,,,,,,,,,,,,
144,5,3410649936,DUO_SUPPORT,BOTTOM,1.7000000000000002,284.9,232.6,-0.9500000000000004,-23.30000000000001,461.20000000000005,39.45,1.1,401.79999999999995,269.1,0.6000000000000003,151.75000000000003,919.6999999999999,-65.25000000000011,,,,,,,,,,,,,,
390,6,3410649936,DUO_SUPPORT,BOTTOM,1.2999999999999998,271.2,240.0,0.9500000000000004,23.30000000000001,397.1,-39.45,1.2,237.4,212.8,-0.6000000000000003,-151.75000000000003,595.9000000000001,65.25000000000011,,,,,,,,,,,,,,
391,7,3410649936,NONE,JUNGLE,0.2,299.0,279.5,-1.2,-132.5,708.4,-10.400000000000034,1.6,362.9,332.5,-2.5999999999999996,-330.6,1479.8,500.8,,,,,,,,,,,,,,
392,8,3410649936,DUO_CARRY,BOTTOM,6.9,349.6,562.1,0.9500000000000004,23.30000000000001,375.2,-39.45,4.6,308.2,444.9,-0.6000000000000003,-151.75000000000003,1148.7,65.25000000000011,,,,,,,,,,,,,,
393,9,3410649936,DUO,MIDDLE,5.9,373.1,289.4,,,486.79999999999995,,5.800000000000001,467.4,343.70000000000005,,,1096.1,,,,,,,,,,,,,,,
394,10,3410649936,DUO,MIDDLE,6.0,469.8,236.60000000000002,,,453.79999999999995,,5.5,441.3,278.3,,,987.9,,,,,,,,,,,,,,,
125,1,3410785199,DUO_SUPPORT,BOTTOM,0.4,253.6,204.0,-0.050000000000000044,-7.1000000000000085,173.0,-105.35,0.6000000000000001,385.4,295.3,-0.30000000000000016,16.200000000000017,353.8,-372.6,,,,,,,,,,,,,,
126,2,3410785199,SOLO,TOP,7.0,454.8,278.4,0.5000000000000004,2.700000000000017,350.2,-37.400000000000034,5.5,499.4,468.9,-3.0,-19.80000000000001,865.1,21.19999999999996,,,,,,,,,,,,,,
127,3,3410785199,SOLO,MIDDLE,6.9,419.79999999999995,257.3,-0.5,-42.80000000000004,448.5,304.2,8.0,668.4,565.5,1.1999999999999997,283.29999999999995,544.4,-53.60000000000002,,,,,,,,,,,,,,
128,4,3410785199,DUO_CARRY,BOTTOM,6.5,291.3,266.6,-0.050000000000000044,-7.1000000000000085,210.9,-105.35,6.1,383.0,322.70000000000005,-0.30000000000000016,16.200000000000017,283.8,-372.6,,,,,,,,,,,,,,
129,5,3410785199,NONE,JUNGLE,0.2,282.2,297.4,-0.30000000000000004,-36.30000000000001,436.9,-316.20000000000005,1.2,589.1,567.2,0.8,260.80000000000007,894.3,-120.69999999999999,,,,,,,,,,,,,,
375,6,3410785199,DUO_CARRY,BOTTOM,6.1,293.6,277.8,0.050000000000000044,7.1000000000000085,294.0,105.35,6.4,424.4,401.5,0.30000000000000016,-16.200000000000017,871.1,372.6,,,,,,,,,,,,,,
376,7,3410785199,NONE,JUNGLE,0.5,318.5,243.2,0.30000000000000004,36.30000000000001,753.1,316.20000000000005,0.4,328.29999999999995,266.9,-0.8,-260.80000000000007,1015.0,120.69999999999999,,,,,,,,,,,,,,
377,8,3410785199,SOLO,MIDDLE,7.4,462.6,333.9,0.5,42.80000000000004,144.3,-304.2,6.800000000000001,385.1,291.79999999999995,-1.1999999999999997,-283.29999999999995,598.0,53.60000000000002,,,,,,,,,,,,,,
378,9,3410785199,SOLO,TOP,6.5,452.1,236.7,-0.5000000000000004,-2.700000000000017,387.6,37.400000000000034,8.5,519.2,392.3,3.0,19.80000000000001,843.9000000000001,-21.19999999999996,,,,,,,,,,,,,,
379,10,3410785199,DUO_SUPPORT,BOTTOM,0.9,265.5,180.79999999999998,0.050000000000000044,7.1000000000000085,300.6,105.35,0.9,311.6,302.0,0.30000000000000016,-16.200000000000017,511.7,372.6,,,,,,,,,,,,,,
130,1,3410800117,SOLO,MIDDLE,8.7,493.5,322.5,,,428.70000000000005,,7.0,583.6,562.2,,,1014.5,,,,,,,,,,,,,,,
131,2,3410800117,DUO_CARRY,BOTTOM,7.1,348.5,240.29999999999998,-0.5499999999999998,-13.449999999999989,243.8,22.750000000000014,5.6,396.29999999999995,319.8,-0.44999999999999973,-63.14999999999998,728.6,82.19999999999999,,,,,,,,,,,,,,
132,3,3410800117,SOLO,TOP,6.9,411.1,233.8,,,347.1,,8.2,603.8,599.1,,,905.5,,,,,,,,,,,,,,,
133,4,3410800117,DUO_SUPPORT,BOTTOM,0.2,216.0,163.3,-0.5499999999999998,-13.449999999999989,326.9,22.750000000000014,0.6,307.0,325.6,-0.44999999999999973,-63.14999999999998,616.5,82.19999999999999,,,,,,,,,,,,,,
134,5,3410800117,NONE,JUNGLE,0.0,321.9,275.3,-0.3,-28.50000000000003,667.2,-135.49999999999997,1.0,371.8,373.2,-0.19999999999999998,-86.1,1041.6,-163.00000000000006,,,,,,,,,,,,,,
380,6,3410800117,NONE,JUNGLE,0.3,350.4,261.8,0.3,28.50000000000003,802.7,135.49999999999997,1.2,457.9,336.1,0.19999999999999998,86.1,1204.6,163.00000000000006,,,,,,,,,,,,,,
381,7,3410800117,DUO,TOP,6.1,418.4,231.0,,,277.8,,5.300000000000001,404.29999999999995,351.3,,,661.6,,,,,,,,,,,,,,,
382,8,3410800117,DUO_CARRY,BOTTOM,7.2,298.1,343.4,0.5499999999999998,13.449999999999989,262.9,-22.750000000000014,5.800000000000001,427.5,451.20000000000005,0.44999999999999973,63.14999999999998,533.0,-82.19999999999999,,,,,,,,,,,,,,
383,9,3410800117,DUO_SUPPORT,BOTTOM,1.2,293.3,197.2,0.5499999999999998,13.449999999999989,262.3,-22.750000000000014,1.3,402.1,388.6,0.44999999999999973,63.14999999999998,647.7,-82.19999999999999,,,,,,,,,,,,,,
384,10,3410800117,DUO,TOP,6.2,488.4,230.29999999999998,,,290.2,,4.3,333.7,322.6,,,613.8,,,,,,,,,,,,,,,
120,1,3410850033,DUO_SUPPORT,BOTTOM,1.2,281.1,236.9,1.2499999999999998,36.7,217.10000000000002,-75.44999999999999,1.1,336.0,267.3,0.6499999999999997,26.350000000000023,696.3,47.14999999999998,,,,,,,,,,,,,,
121,2,3410850033,NONE,JUNGLE,1.0,373.5,368.3,0.4,-69.40000000000006,490.6,-205.9,0.8,534.5,567.3,0.6,54.099999999999966,962.3,-151.50000000000006,,,,,,,,,,,,,,
122,3,3410850033,DUO_CARRY,BOTTOM,7.8,339.70000000000005,375.9,1.2499999999999998,36.7,287.4,-75.44999999999999,6.199999999999999,455.20000000000005,456.79999999999995,0.6499999999999997,26.350000000000023,503.3,47.14999999999998,,,,,,,,,,,,,,
123,4,3410850033,SOLO,TOP,5.7,446.29999999999995,277.5,0.5000000000000004,16.69999999999999,418.1,148.0,4.8,421.5,334.20000000000005,-0.9000000000000001,-130.90000000000003,1108.0,441.2,,,,,,,,,,,,,,
124,5,3410850033,SOLO,MIDDLE,6.300000000000001,487.9,337.0,0.20000000000000018,95.79999999999998,438.20000000000005,79.9,5.6,375.3,312.6,0.19999999999999973,-31.899999999999977,911.9000000000001,213.8,,,,,,,,,,,,,,
370,6,3410850033,NONE,JUNGLE,0.6,442.90000000000003,371.9,-0.4,69.40000000000006,696.5,205.9,0.2,480.4,458.4,-0.6,-54.099999999999966,1113.8,151.50000000000006,,,,,,,,,,,,,,
371,7,3410850033,SOLO,MIDDLE,6.1,392.1,262.6,-0.20000000000000018,-95.79999999999998,358.3,-79.9,5.4,407.2,310.70000000000005,-0.19999999999999973,31.899999999999977,698.1,-213.8,,,,,,,,,,,,,,
372,8,3410850033,DUO_CARRY,BOTTOM,6.4,297.3,232.8,-1.2499999999999998,-36.7,345.6,75.44999999999999,5.5,472.1,565.9,-0.6499999999999997,-26.350000000000023,509.79999999999995,-47.14999999999998,,,,,,,,,,,,,,
373,9,3410850033,DUO_SUPPORT,BOTTOM,0.1,250.10000000000002,151.3,-1.2499999999999998,-36.7,309.8,75.44999999999999,0.5,266.4,255.2,-0.6499999999999997,-26.350000000000023,595.5,-47.14999999999998,,,,,,,,,,,,,,
374,10,3410850033,SOLO,TOP,5.199999999999999,429.6,247.0,-0.5000000000000004,-16.69999999999999,270.1,-148.0,5.7,552.4000000000001,469.70000000000005,0.9000000000000001,130.90000000000003,666.8,-441.2,,,,,,,,,,,,,,
115,1,3411719837,DUO,MIDDLE,7.9,369.29999999999995,264.6,,,206.0,,4.5,359.5,410.29999999999995,,,662.5,,5.2,713.7,617.3,,,987.0,,6.6,924.8,807.4,,,1291.2,
116,2,3411719837,NONE,JUNGLE,0.0,324.5,348.2,-0.3,-16.599999999999994,624.9,-12.0,0.9,500.3,337.2,-1.6999999999999997,-63.79999999999998,747.7,-12.400000000000034,2.5999999999999996,669.1,556.1,1.5999999999999999,16.099999999999994,1123.1,-210.49999999999994,2.0,635.6,395.2,1.2,319.0,828.2,-1580.6000000000001
117,3,3411719837,DUO,MIDDLE,6.3,417.6,336.4,,,551.0,,5.800000000000001,541.5,472.5,,,1054.4,,3.0999999999999996,623.1,551.5,,,1933.8,,3.4,520.4,389.0,,,1847.8,
118,4,3411719837,DUO_SUPPORT,MIDDLE,1.2000000000000002,250.1,167.7,,,174.3,,1.9000000000000001,386.0,251.3,,,627.1,,1.0,599.7,367.1,,,984.3000000000001,,1.2,681.2,323.8,,,1133.4,
119,5,3411719837,SOLO,TOP,4.9,372.1,205.3,-1.8000000000000003,-88.0,442.0,43.60000000000002,4.2,402.29999999999995,293.5,-3.3,-154.90000000000003,903.1,83.10000000000002,4.9,581.4000000000001,399.3,2.4,284.5,705.5999999999999,-732.6000000000001,1.4,602.4,299.8,-3.1999999999999997,47.0,1219.8,-800.8
365,6,3411719837,SOLO,TOP,6.7,460.1,302.20000000000005,1.8000000000000003,88.0,398.4,-43.60000000000002,7.5,557.2,448.70000000000005,3.3,154.90000000000003,820.0,-83.10000000000002,2.5,296.9,270.7,-2.4,-284.5,1438.2,732.6000000000001,4.6,555.4,274.2,3.1999999999999997,-47.0,2020.6,800.8
366,7,3411719837,SOLO,MIDDLE,5.2,391.3,261.0,,,583.5999999999999,,5.4,414.20000000000005,363.6,,,994.7,,5.1,455.5,361.4,,,979.8,,6.2,401.4,298.8,,,1524.6,
367,8,3411719837,DUO_CARRY,BOTTOM,7.9,304.1,266.0,,,205.5,,5.9,354.2,429.1,,,610.0,,5.2,495.0,485.20000000000005,,,977.8,,7.8,681.4,527.8,,,711.8,
368,9,3411719837,DUO_SUPPORT,BOTTOM,1.1,274.1,151.4,,,279.4,,1.3,352.20000000000005,251.39999999999998,,,842.5999999999999,,0.3,317.20000000000005,331.1,,,1184.6,,0.2,737.6,208.4,,,954.2,
369,10,3411719837,NONE,JUNGLE,0.3,341.1,284.6,0.3,16.599999999999994,636.9,12.0,2.5999999999999996,564.1,460.90000000000003,1.6999999999999997,63.79999999999998,760.1,12.400000000000034,1.0,653.0,625.2,-1.5999999999999999,-16.099999999999994,1333.6,210.49999999999994,0.8,316.6,385.0,-1.2,-319.0,2408.8,1580.6000000000001
110,1,3411756597,DUO_SUPPORT,NONE,6.699999999999999,527.2,423.8,0.5999999999999999,48.039999999999964,202.1,36.359999999999985,,,,,,,,,,,,,,,,,,,,,
111,2,3411756597,DUO_SUPPORT,NONE,7.1,319.8,293.20000000000005,0.5999999999999999,48.039999999999964,368.0,36.359999999999985,,,,,,,,,,,,,,,,,,,,,
112,3,3411756597,DUO_SUPPORT,NONE,1.5,252.3,186.3,0.5999999999999999,48.039999999999964,309.9,36.359999999999985,,,,,,,,,,,,,,,,,,,,,
113,4,3411756597,DUO_SUPPORT,NONE,0.4,239.8,285.1,0.5999999999999999,48.039999999999964,946.6999999999999,36.359999999999985,,,,,,,,,,,,,,,,,,,,,
114,5,3411756597,DUO_SUPPORT,NONE,6.3,495.2,333.4,0.5999999999999999,48.039999999999964,597.3,36.359999999999985,,,,,,,,,,,,,,,,,,,,,
