,summonerName,participantId,gameId,gameCreation,gameDuration,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,teamId_team,win_team,firstBlood_team,firstTower_team,firstInhibitor_team,firstBaron_team,firstDragon_team,firstRiftHerald_team,towerKills_team,inhibitorKills_team,baronKills_team,dragonKills_team,riftHeraldKills_team,ban1,ban2,ban3,ban4,ban5,role,lane,creepsPerMinDeltas_0-10,xpPerMinDeltas_0-10,goldPerMinDeltas_0-10,csDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_0-10,damageTakenPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_0-10,creepsPerMinDeltas_10-20,xpPerMinDeltas_10-20,goldPerMinDeltas_10-20,csDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_10-20,damageTakenPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_10-20,creepsPerMinDeltas_20-30,xpPerMinDeltas_20-30,goldPerMinDeltas_20-30,csDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_20-30,damageTakenPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_20-30,creepsPerMinDeltas_30-end,xpPerMinDeltas_30-end,goldPerMinDeltas_30-end,csDiffPerMinDeltas_30-end,xpDiffPerMinDeltas_30-end,damageTakenPerMinDeltas_30-end,damageTakenDiffPerMinDeltas_30-end,championId,spell1Id,spell2Id
68,TONGSANITY,9,3408878574,1.58882E+12,1866,2424,3860,3143,0,3065,3111,3364,0,9,15,0,0,0,251,0,0,0,0,37226,19487,10264,7475,0,8699,5534,1866,1298,2484,1,31938,2021,667,32,45,27556,7551,19233,772,8227,7525,0,0,41,2,1,0,147,14,1,13,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8229,807,0,0,8226,250,354,0,8210,0,0,0,8232,2,50,0,8313,0,0,0,8345,3,0,0,8200,8300,5007,5003,5001,200,Win,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,7,1,1,5,0,"{'championId': 54, 'pickTurn': 6}","{'championId': 38, 'pickTurn': 7}","{'championId': 104, 'pickTurn': 8}","{'championId': 99, 'pickTurn': 9}","{'championId': 420, 'pickTurn': 10}",DUO_SUPPORT,BOTTOM,1.5,317.5,176.9,0.5,28,428.5,-6.1,1.2,314.9,249.3,-0.45,-89.55,1136.6,257.9,1.4,471,310.1,0.5,166.8,1039.5,68.45,,,,,,,,89,14,4
69,SheCalledLeBlanc,10,3408878574,1.58882E+12,1866,2033,3157,3041,3285,3165,3020,3364,13,3,8,7,1,3,814,0,0,0,0,160542,138502,17094,4945,0,36075,30904,1615,3555,8371,1,17037,11136,5774,30,13,24630,7615,15773,1240,15282,12875,1,0,195,24,16,4,53,17,2,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8112,2206,0,0,8139,1447,0,0,8138,30,0,0,8135,4701,5,0,8226,250,1420,0,8210,20,0,0,8100,8200,5008,5008,5002,200,Win,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,7,1,1,5,0,"{'championId': 54, 'pickTurn': 6}","{'championId': 38, 'pickTurn': 7}","{'championId': 104, 'pickTurn': 8}","{'championId': 99, 'pickTurn': 9}","{'championId': 420, 'pickTurn': 10}",SOLO,MIDDLE,7.2,475,297.6,1.3,5.3,536.4,183.8,6.8,597.7,531.9,-0.4,86.1,953.8,233.9,5.3,654.7,565.3,0.9,287.9,895,-134.2,,,,,,,,7,14,4
70,LuluLychee,1,3409106485,1.58882E+12,1415,3860,3109,1057,2031,2422,0,3364,0,5,0,0,0,0,540,0,0,0,0,16920,5007,4391,7520,0,2623,2288,334,0,3503,5,18396,57,57,14,24,14839,4145,9927,767,4480,3570,0,0,26,0,0,0,49,10,0,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8439,553,0,0,8446,0,0,0,8429,49,17,13,8451,140,0,0,8347,0,0,0,8304,12,0,0,8400,8300,5007,5002,5002,100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,"{'championId': 245, 'pickTurn': 1}","{'championId': 50, 'pickTurn': 2}","{'championId': 83, 'pickTurn': 3}","{'championId': 238, 'pickTurn': 4}","{'championId': 3, 'pickTurn': 5}",DUO_SUPPORT,BOTTOM,0.9,223.7,141.9,0.3,-44.1,358.8,143.5,1.7,304.1,205.7,-0.25,-111.45,721.6,432.2,,,,,,,,,,,,,,,12,7,4
71,LordNarwhalXXD,2,3409106485,1.58882E+12,1415,3072,3006,0,0,1055,0,3340,0,5,1,0,0,0,550,0,0,0,0,58961,0,57421,1540,0,7603,0,7603,0,293,1,7292,810,810,8,5,13222,3196,9482,544,6290,5325,0,0,144,0,0,0,46,10,1,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8005,208,180,27,9111,45,20,0,9104,0,0,0,8014,59,0,0,8345,3,0,0,8347,0,0,0,8000,8300,5008,5008,5002,100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,"{'championId': 245, 'pickTurn': 1}","{'championId': 50, 'pickTurn': 2}","{'championId': 83, 'pickTurn': 3}","{'championId': 238, 'pickTurn': 4}","{'championId': 3, 'pickTurn': 5}",DUO_CARRY,BOTTOM,7,256.7,237.8,0.3,-44.1,378.1,143.5,7.1,324.9,282.1,-0.25,-111.45,731,432.2,,,,,,,,,,,,,,,119,1,4
72,Dapper Dabber,3,3409106485,1.58882E+12,1415,3158,3078,3053,0,0,0,3340,3,6,2,0,1,0,584,0,0,0,0,93507,8777,80987,3742,0,13117,3010,8912,1193,5146,1,13100,606,0,9,9,23176,9586,12868,722,8387,8608,0,0,145,4,4,0,213,12,1,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8437,910,713,0,8446,0,0,0,8473,618,0,0,8451,151,0,0,8345,3,0,0,8352,201,1191,720,8400,8300,5008,5008,5002,100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,"{'championId': 245, 'pickTurn': 1}","{'championId': 50, 'pickTurn': 2}","{'championId': 83, 'pickTurn': 3}","{'championId': 238, 'pickTurn': 4}","{'championId': 3, 'pickTurn': 5}",SOLO,TOP,7.3,467.4,288.6,,,483.7,,6.9,507.2,451.2,,,907.3,,,,,,,,,,,,,,,,41,4,12
73,hunzikin9,4,3409106485,1.58882E+12,1415,1412,2031,1036,3006,3179,2055,3364,4,8,1,2,2,1,399,1,0,0,0,98823,3818,89986,5018,0,7633,305,6666,662,3403,1,10178,4324,0,25,12,17645,7246,10399,0,7261,7075,0,0,37,86,57,9,361,11,6,8,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8230,8,0,0,8275,7,0,0,8234,5345,0,0,8232,4,10,0,9104,19,20,0,8014,239,0,0,8200,8000,5005,5008,5002,100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,"{'championId': 245, 'pickTurn': 1}","{'championId': 50, 'pickTurn': 2}","{'championId': 83, 'pickTurn': 3}","{'championId': 238, 'pickTurn': 4}","{'championId': 3, 'pickTurn': 5}",NONE,JUNGLE,0.3,289.7,259.5,,,485.8,,1.4,362.7,328.9,,,814.7,,,,,,,,,,,,,,,,104,11,4
74,Rogerrr,5,3409106485,1.58882E+12,1415,3003,3113,3027,1082,0,1001,3364,2,3,5,2,1,1,598,0,0,0,0,85106,66952,13979,4175,0,13020,11338,1202,480,4159,1,8545,0,0,6,15,15959,4850,11025,84,7923,7525,0,0,150,4,4,0,100,13,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8112,843,0,0,8139,748,0,0,8136,1,2,0,8135,1815,3,0,8009,2987,500,0,8014,263,0,0,8100,8000,5007,5008,5003,100,Fail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,"{'championId': 245, 'pickTurn': 1}","{'championId': 50, 'pickTurn': 2}","{'championId': 83, 'pickTurn': 3}","{'championId': 238, 'pickTurn': 4}","{'championId': 3, 'pickTurn': 5}",SOLO,MIDDLE,5.4,420.4,227.8,-2.7,-126.9,417.1,-34.2,7.8,590.2,394.3,-1.6,7.3,898.9,-35.3,,,,,,,,,,,,,,,38,4,14
75,tDrJcMolly,6,3409106485,1.58882E+12,1415,2033,2055,3373,3379,3083,3047,3364,6,1,10,4,1,2,913,0,0,0,0,142667,64586,63536,14545,0,19458,11333,7965,160,2304,1,23181,5975,5975,17,44,18960,5417,12911,631,11221,10125,2,1,184,8,0,8,536,15,3,7,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,8437,1468,1116,0,8446,3658,0,0,8473,693,0,0,8451,258,0,0,8304,9,0,0,8347,0,0,0,8400,8300,5007,5003,5003,200,Win,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,9,2,0,3,1,"{'championId': 18, 'pickTurn': 6}","{'championId': 114, 'pickTurn': 7}","{'championId': 157, 'pickTurn': 8}","{'championId': 25, 'pickTurn': 9}","{'championId': 8, 'pickTurn': 10}",SOLO,MIDDLE,8.1,547.3,396.4,2.7,126.9,451.3,34.2,9.4,582.9,485.5,1.6,-7.3,934.2,35.3,,,,,,,,,,,,,,,516,4,12
76,seanhaotian,7,3409106485,1.58882E+12,1415,1412,2055,2420,2422,3134,3071,3340,4,3,8,4,2,1,455,1,0,0,0,111315,17079,83654,10582,0,6645,966,5514,164,8620,1,16665,27101,655,18,6,20442,3683,16462,296,8220,7825,2,0,6,109,72,3,321,12,4,8,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8010,153,0,0,9111,852,240,0,9104,16,0,0,8014,263,0,0,8304,10,3,0,8347,0,0,0,8000,8300,5005,5008,5002,200,Win,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,9,2,0,3,1,"{'championId': 18, 'pickTurn': 6}","{'championId': 114, 'pickTurn': 7}","{'championId': 157, 'pickTurn': 8}","{'championId': 25, 'pickTurn': 9}","{'championId': 8, 'pickTurn': 10}",DUO_SUPPORT,TOP,0.1,253.5,222.1,,,671.8,,0.2,464.5,349.1,,,1016.3,,,,,,,,,,,,,,,,64,4,11
77,ExhaustMyHoles,8,3409106485,1.58882E+12,1415,3373,3047,0,1028,0,3025,3364,5,5,3,2,1,2,389,0,0,0,0,90439,71440,17948,1050,0,15197,10402,3744,1050,1883,1,19320,3412,3412,13,6,14963,5068,8606,1288,8919,7900,2,0,132,4,0,4,70,14,2,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8010,1063,0,0,9111,712,160,0,9104,19,10,0,8017,466,0,0,8401,357,0,0,8453,274,412,0,8000,8400,5005,5008,5002,200,Win,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,9,2,0,3,1,"{'championId': 18, 'pickTurn': 6}","{'championId': 114, 'pickTurn': 7}","{'championId': 157, 'pickTurn': 8}","{'championId': 25, 'pickTurn': 9}","{'championId': 8, 'pickTurn': 10}",DUO_CARRY,TOP,4.8,450.8,236,,,419,,7.3,588.6,448.2,,,816.6,,,,,,,,,,,,,,,,131,14,4
